s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
,,42.867704,-85.565109,,,,,,40.599523,-73.998594,,,
,,42.867704,-85.565109,,,,,,40.656528,-74.007331,,,
,,42.867704,-85.565109,,,,,,40.584455,-73.948402,,,
,,42.867704,-85.565109,,,,,,40.784369,-73.843641,,,
,,42.867704,-85.565109,,,,,,40.722861,-73.862069,,,
,,42.867704,-85.565109,,,,,,40.748372,-73.905445,,,
,,42.867704,-85.565109,,,,,,40.664542,-73.755926,,,
,,42.867704,-85.565109,,,,,,40.684546,-73.850708,,,
,,42.867704,-85.565109,,,,,,40.674583,-73.78156,,,
,,42.867704,-85.565109,,,,,,40.635252,-73.636923,,,
,,42.867704,-85.565109,,,,,,40.74505,-73.571521,,,
,,42.867704,-85.565109,,,,,,40.76902,-73.113366,,,
,,42.867704,-85.565109,,,,,,40.88124,-73.00588,,,
,,42.867704,-85.565109,,,,,,40.732747,-73.432789,,,
,,42.867704,-85.565109,,,,,,40.787248,-73.405573,,,
,,42.867704,-85.565109,,,,,,40.808322,-73.130469,,,
,,42.867704,-85.565109,,,,,,40.828288,-73.505922,,,
,,42.867704,-85.565109,,,,,,40.78325,-73.47319,,,
,,42.867704,-85.565109,,,,,,40.75586,-73.45404,,,
,,42.867704,-85.565109,,,,,,40.96343,-72.1848,,,
,,42.867704,-85.565109,,,,,,40.8018,-72.84269,,,
,,42.867704,-85.565109,,,,,,41.06017,-72.42642,,,
,,42.867704,-85.565109,,,,,,42.752928,-73.779714,,,
,,42.867704,-85.565109,,,,,,42.614852,-73.970812,,,
,,42.867704,-85.565109,,,,,,44.98643,-73.44653,,,
,,42.867704,-85.565109,,,,,,44.96379,-73.58785,,,
,,42.867704,-85.565109,,,,,,43.096216,-76.047426,,,
,,42.867704,-85.565109,,,,,,43.02979,-76.00436,,,
,,42.867704,-85.565109,,,,,,43.152767,-76.223459,,,
,,42.867704,-85.565109,,,,,,42.905264,-76.794921,,,
,,42.867704,-85.565109,,,,,,43.031189,-76.127021,,,
,,42.867704,-85.565109,,,,,,43.122566,-76.128382,,,
,,42.867704,-85.565109,,,,,,43.150119,-75.192786,,,
,,42.867704,-85.565109,,,,,,42.555454,-75.135511,,,
,,42.867704,-85.565109,,,,,,43.015256,-78.958945,,,
,,42.867704,-85.565109,,,,,,43.044371,-78.777335,,,
,,42.867704,-85.565109,,,,,,43.100305,-78.952112,,,
,,42.867704,-85.565109,,,,,,43.117255,-79.018415,,,
,,42.867704,-85.565109,,,,,,43.223303,-77.917335,,,
,,42.867704,-85.565109,,,,,,43.113563,-77.482538,,,
,,42.867704,-85.565109,,,,,,42.99284,-77.86029,,,
,,42.867704,-85.565109,,,,,,43.087067,-77.097867,,,
,,42.867704,-85.565109,,,,,,42.973715,-77.426906,,,
,,42.867704,-85.565109,,,,,,43.21821,-77.454075,,,
,,42.867704,-85.565109,,,,,,43.173612,-77.691577,,,
,,42.867704,-85.565109,,,,,,43.189939,-77.603649,,,
,,42.867704,-85.565109,,,,,,43.082184,-77.649074,,,
,,42.867704,-85.565109,,,,,,43.121612,-77.731127,,,
,,42.867704,-85.565109,,,,,,42.422827,-78.206289,,,
